Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Région;Libellé Région;id_filiere;Consommation totale (MWh)
Régie municipale multiservices de La Réole;2017;Electricité;195.76;5;0;1.0;10263.73;115;0;1.0;2604.71;220;0;0.8;10447.64;2696;0;0.6;0.0;0;0;0.0;75;Nouvelle-Aquitaine;100;23511.84
RTE;2017;Electricité;0.0;0;0;0.0;702789.01;22;0;1.0;638163.22;52;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;24;Centre-Val de Loire;100;1340952.23
RTE;2017;Electricité;0.0;0;0;0.0;7417767.01;88;0;1.0;648997.56;30;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;44;Grand Est;100;8066764.57
RTE;2017;Electricité;0.0;0;0;0.0;2001184.03;44;0;1.0;439399.78;97;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;76;Occitanie;100;2440583.81
RTE;2017;Electricité;0.0;0;0;0.0;10538955.13;127;0;1.0;2348444.25;99;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;12887399.38
RTE;2017;Electricité;0.0;0;0;0.0;6252872.91;37;0;1.0;565497.27;47;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;93;Provence-Alpes-Côte d'Azur;100;6818370.18
S.E.R. Des cantons de Lassigny et limitrophes;2017;Electricité;907.15;19;0;1.0;61838.84;43;0;1.0;10938.08;61;0;1.0;79124.17;12198;2;0.889;0.0;0;0;0.0;32;Hauts-de-France;100;152808.24
SAEML Hunelec;2017;Electricité;0.0;0;0;0.0;51547.0;16;0;1.0;5251.0;225;0;1.0;13198.0;4400;0;0.98;0.0;0;0;0.0;44;Grand Est;100;69996.0
SEM Beauvois Distrelec;2017;Electricité;0.0;0;0;0.0;2723.0;6;0;1.0;0.0;0;0;0.0;4965.0;1037;0;0.76;0.0;0;0;0.0;32;Hauts-de-France;100;7688.0
SICAE de l'Aisne;2017;Electricité;5791.0;27;0;1.0;14830.0;42;0;1.0;18723.0;68;0;1.0;129540.0;23646;0;1.0;11103.0;77;0;1.0;32;Hauts-de-France;100;179987.0
SICAE de Precy-Saint-Martin;2017;Electricité;12997.86;57;0;1.0;1531.52;8;0;1.0;1616.72;17;0;1.0;28453.57;3923;0;0.5;0.0;0;0;0.0;44;Grand Est;100;44599.67
SICAE du Carmausin;2017;Electricité;2040.0;164;0;0.8;5453.0;44;0;0.8;1485.0;164;0;0.8;26892.0;5509;0;0.8;1094.0;387;0;0.8;76;Occitanie;100;36964.0
SICAE ELY;2017;Electricité;1234.0;13;0;1.0;9265.0;20;0;1.0;5702.0;21;0;1.0;60564.0;8557;3;1.0;4468.0;30;0;1.0;24;Centre-Val de Loire;100;81233.0
Sivom d'Energies du Pays Toy;2017;Electricité;270.05;85;0;1.0;0.0;0;0;0.0;6048.0;353;0;1.0;9709.0;2981;0;1.0;330.0;49;0;1.0;76;Occitanie;100;16357.05
SOREA;2017;Electricité;0.0;0;0;0.0;32913.0;68;0;1.0;45711.0;2123;0;1.0;41120.0;10542;0;1.0;2345.0;190;0;1.0;84;Auvergne-Rhône-Alpes;100;122089.0
SRD;2017;Electricité;69778.72;2227;0;0.9;147125.64;1009;0;0.9;212048.65;2171;0;0.9;716355.98;130520;24;0.5;141684.57;11522;0;0.5;75;Nouvelle-Aquitaine;100;1286993.56
Syndicat intercommunal d'électricité de Labergement Sainte Marie;2017;Electricité;921.12;45;0;0.0;7684.31;48;0;0.0;4240.17;380;0;0.0;23440.14;5244;0;0.0;2282.71;259;0;0.0;27;Bourgogne-Franche-Comté;100;38568.45
Vialis;2017;Electricité;599.8;21;0;0.7;171911.5;601;0;0.92;133462.44;3458;0;0.7;122149.17;39730;0;0.73;33693.41;299;0;0.54;44;Grand Est;100;461816.31999999995
Caléo;2017;Gaz;705.71;25;0;1.0;94960.75;38;0;1.0;15194.34;314;0;1.0;146380.34;10772;0;1.0;42796.67;471;0;1.0;44;Grand Est;200;300037.81
Energie et services de Seyssel;2017;Gaz;0.0;0;0;0.0;771.0;2;0;0.95;2457.0;3;0;0.95;5732.0;293;0;0.95;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;200;8960.0
Gazelec de Péronne;2017;Gaz;0.0;0;0;0.0;29350.0;30;0;1.0;14285.0;202;0;1.0;25585.0;2065;0;1.0;0.0;0;0;0.0;32;Hauts-de-France;200;69220.0
Gedia;2017;Gaz;1435.0;2;0;1.0;47099.0;17;0;1.0;63771.0;96;0;1.0;258760.0;13067;2;0.701;0.0;0;0;0.0;24;Centre-Val de Loire;200;371065.0
GRDF;2017;Gaz;114359.0;111;0;0.973;2436267.0;1104;0;0.991;12827623.0;12725;0;0.998;42165316.0;2583383;160;0.253;2232051.0;1557;117;0.918;11;Île-de-France;200;59775616.0
